Year Local,Month Local,Day Local,Cloud Ceiling (m) / Mean,Cloud Cover Fraction / Fraction Nan,Cloud Cover Fraction / Fraction Clr,Cloud Cover Fraction / Fraction Few,Cloud Cover Fraction / Fraction Sct,Cloud Cover Fraction / Fraction Bkn,Cloud Cover Fraction / Fraction Ovc,Cloud Cover Fraction / Median,Dew Point C / High,Dew Point C / Low,Humidity Fraction / High,Humidity Fraction / Low,Humidity Fraction / Mean,Precipitation One Hour (mm) / Mean,Precipitation One Hour (mm) / Sum,Weather Codes / Precipitation Count,Weather Codes / Drizzle Count,Weather Codes / Rain Slight Count,Weather Codes / Rain Moderate Count,Weather Codes / Rain Heavy Count,Weather Codes / Snow Slight Count,Weather Codes / Snow Moderate Count,Weather Codes / Snow Heavy Count,Weather Codes / Thunderstorm Count,Weather Code Most Severe / Icon Code,Pressure Altimeter (mbar) / Mean,Snow Depth (cm) / Mean,Temperature C / High,Temperature C / Low,Visibility (km) / Mean,Wind Direction (degrees) / Angular Mean,Wind Gust (m/s) / Max,Wind Speed (m/s) / High,Wind Speed (m/s) / Low,Wind Speed (m/s) / Mean
1993.0,2.0,1.0,1432.5,0,0.67,0.04,0.13,0.04,0.13,0,-1.1,-8.3,0.808,0.557,0.694,0,0,0,0,0,0,0,0,0,0,0,0,1025.5,5,3.9,-4.4,16,57.9,,6.2,0,3.2
1993.0,2.0,2.0,7500,0,0.5,0.17,0.21,0,0.13,0.13,-5,-7.8,0.88,0.563,0.73,0,0,0,0,0,0,0,0,0,0,0,0,1026.7,4.5,2.2,-5.6,15.1,201.4,,6.2,0,3.5
1993.0,2.0,3.0,7800,0,0.33,0.17,0.25,0.04,0.21,0.45,-1.7,-7.8,0.889,0.552,0.737,0,0,0,0,0,0,0,0,0,0,0,0,1026,4,6.1,-6.1,13.1,298.3,,3.6,0,2
1993.0,2.0,4.0,,0,1,0,0,0,0,0,-2.8,-7.2,0.92,0.403,0.722,0,0,0,0,0,0,0,0,0,0,0,0,1031.4,3.8,8.3,-6.1,10.6,244.2,,3.6,0,1.5
1993.0,2.0,5.0,2466,0,0.21,0.17,0.29,0.08,0.25,0.75,-1.1,-4.4,0.889,0.644,0.809,0,0,1,0,0,0,0,1,0,0,0,0,1024.4,3,4.4,-1.1,8.4,327.6,,5.2,1.5,3.7
1993.0,2.0,6.0,438,0,0,0,0.38,0.08,0.54,1,-2.8,-8.9,0.887,0.712,0.799,0,0,3,1,0,0,0,2,0,0,0,0,1024.3,3,-1.1,-6.1,14.7,83.1,,7.2,3.1,4.9
1993.0,2.0,7.0,350,0,0,0,0.04,0,0.96,1,-1.7,-5,0.851,0.781,0.819,0,0,0,0,0,0,0,0,0,0,0,0,1014.5,3,1.1,-1.7,9.3,265.1,8.2,7.7,3.6,5.5
1993.0,2.0,8.0,601.7,0,0,0,0.33,0,0.67,1,-2.2,-9.4,0.881,0.655,0.745,0,0,2,0,0,0,0,2,0,0,0,0,1022.5,3,0.6,-4.4,15.3,66.7,,6.7,2.6,4.9
1993.0,2.0,9.0,386.3,0,0,0,0.21,0,0.79,1,-1.1,-8.3,0.923,0.714,0.821,0.12,2.8,5,2,0,0,0,1,0,2,0,9,1019.1,3,0.6,-3.9,9,186.4,,5.2,1.5,3.1
1993.0,2.0,10.0,253.3,0,0,0.04,0.25,0,0.71,1,-1.1,-6.1,0.964,0.841,0.896,0.16,3.9,22,0,7,0,0,12,3,0,0,7,1021.8,3,0.6,-3.9,4.4,46.6,10.2,7.7,1.5,4.6
1993.0,2.0,11.0,620,0,0,0,0.29,0.04,0.67,1,-6.1,-8.3,0.845,0.683,0.769,0,0,10,0,0,0,0,10,0,0,0,7,1023.6,3,-2.2,-5.6,15.5,57.1,12.8,10.3,6.7,7.7
1993.0,2.0,12.0,791.4,0,0,0.04,0.25,0.13,0.58,1,-6.1,-7.8,0.845,0.71,0.776,0.04,0.9,11,0,0,0,0,11,0,0,0,7,1014.6,3.4,-2.8,-5,12.3,24.5,,7.2,3.1,5.5
1993.0,2.0,13.0,1218,0,0,0.08,0.63,0.04,0.25,0.68,-5.6,-9.4,0.844,0.663,0.748,0.03,0.6,9,0,0,0,0,9,0,0,0,7,1012.1,4.2,-0.6,-7.2,11.9,308.3,,5.2,1.5,3
1993.0,2.0,14.0,782.3,0,0.08,0.17,0.17,0.04,0.54,1,-6.7,-12.2,0.844,0.597,0.707,0,0,6,0,0,0,0,5,1,0,0,7,1017,4,-1.7,-7.8,13.4,294.9,,7.2,1.5,4.1
1993.0,2.0,15.0,7410,0,0.08,0.29,0.21,0.04,0.38,0.68,-12.2,-15.6,0.765,0.433,0.625,0,0,0,0,0,0,0,0,0,0,0,0,1022.9,4,-4.4,-12.2,13.9,13.4,,4.1,0,2.3
1993.0,2.0,16.0,2800,0,0.04,0,0.29,0.08,0.58,1,-12.8,-18.9,0.732,0.417,0.576,0,0,1,0,0,0,0,1,0,0,0,0,1022,4,-3.9,-11.1,14.7,338.1,,7.2,3.6,5.6
1993.0,2.0,17.0,,0,0.88,0.08,0.04,0,0,0,-18.9,-24.4,0.652,0.426,0.549,0,0,0,0,0,0,0,0,0,0,0,0,1026.4,4,-12.2,-18.3,15.9,296.7,9.7,8.8,5.2,6.1
1993.0,2.0,18.0,6100,0,0.71,0.13,0.04,0.13,0,0,-16.7,-23.3,0.71,0.42,0.603,0,0,0,0,0,0,0,0,0,0,0,0,1022.2,3.8,-8.3,-19.4,14.8,270.2,9.2,8.2,2.1,5.7
1993.0,2.0,19.0,6000,0,0.38,0.04,0.5,0.08,0,0.5,-10.6,-17.8,0.791,0.525,0.658,0,0,0,0,0,0,0,0,0,0,0,0,1016.2,3,-2.2,-15,14.3,235.5,,6.7,0,3.2
