Year Local,Month Local,Day Local,Cloud Ceiling (m) / Mean,Cloud Cover Fraction / Fraction Nan,Cloud Cover Fraction / Fraction Clr,Cloud Cover Fraction / Fraction Few,Cloud Cover Fraction / Fraction Sct,Cloud Cover Fraction / Fraction Bkn,Cloud Cover Fraction / Fraction Ovc,Cloud Cover Fraction / Median,Dew Point C / High,Dew Point C / Low,Humidity Fraction / High,Humidity Fraction / Low,Humidity Fraction / Mean,Precipitation One Hour (mm) / Mean,Precipitation One Hour (mm) / Sum,Weather Codes / Precipitation Count,Weather Codes / Drizzle Count,Weather Codes / Rain Slight Count,Weather Codes / Rain Moderate Count,Weather Codes / Rain Heavy Count,Weather Codes / Snow Slight Count,Weather Codes / Snow Moderate Count,Weather Codes / Snow Heavy Count,Weather Codes / Thunderstorm Count,Weather Code Most Severe / Icon Code,Pressure Altimeter (mbar) / Mean,Snow Depth (cm) / Mean,Temperature C / High,Temperature C / Low,Visibility (km) / Mean,Wind Direction (degrees) / Angular Mean,Wind Gust (m/s) / Max,Wind Speed (m/s) / High,Wind Speed (m/s) / Low,Wind Speed (m/s) / Mean
1993.0,3.0,3.0,2160,0,0,0.54,0.42,0.04,0,0.4,11.1,8.3,0.961,0.668,0.804,0.07,1.6,5,0,5,0,0,0,0,0,0,2,1024.3,,16.7,11.7,22.5,279.6,,8.2,0,4.3
1993.0,3.0,4.0,6900,0,0.25,0.25,0.29,0.21,0,0.45,10,7.2,0.929,0.598,0.809,0,0,0,0,0,0,0,0,0,0,0,0,1028.4,,16.7,8.3,18.1,287.3,,9.3,1.5,5.1
1993.0,3.0,5.0,,0,0.92,0.08,0,0,0,0,11.1,7.8,0.967,0.47,0.788,0,0,0,0,0,0,0,0,0,0,0,0,1027.1,,20.6,8.9,18.2,290.6,,8.2,0,3.6
1993.0,3.0,6.0,,0,1,0,0,0,0,0,12.8,7.2,0.929,0.461,0.718,0,0,0,0,0,0,0,0,0,0,0,0,1022.4,,22.8,8.9,15,260.6,,3.6,0,1.7
1993.0,3.0,7.0,7500,0,0.63,0,0.21,0.13,0.04,0.05,12.8,9.4,0.93,0.57,0.839,0,0,0,0,0,0,0,0,0,0,0,0,1019.3,,21.7,10.6,9.5,322.4,,9.3,0,3.6
1993.0,3.0,8.0,3553.6,0,0,0.08,0.54,0.13,0.25,0.75,11.7,9.4,0.93,0.674,0.833,0,0,0,0,0,0,0,0,0,0,0,0,1018.8,,17.8,10.6,11.3,317.8,,9.8,0,4.2
1993.0,3.0,9.0,2670,0,0,0.25,0.63,0.08,0.04,0.5,11.7,9.4,0.864,0.674,0.788,0,0,0,0,0,0,0,0,0,0,0,0,1020.1,,17.2,12.2,17.6,293.5,,8.2,2.1,4.2
1993.0,3.0,10.0,597.5,0,0,0.17,0.63,0.13,0.08,0.55,12.8,9.4,0.93,0.748,0.838,0,0,5,5,0,0,0,0,0,0,0,1,1021.3,,16.7,11.7,21.5,274.7,,8.8,1.5,3.7
1993.0,3.0,11.0,1035,0,0.29,0.17,0.13,0.04,0.38,0.5,12.2,10,0.967,0.676,0.837,0,0,1,1,0,0,0,0,0,0,0,0,1021.2,,18.3,10.6,17.7,301.7,,10.3,0,4.5
1993.0,3.0,12.0,4126.7,0,0,0.21,0.42,0.33,0.04,0.68,13.3,10,0.967,0.633,0.843,0,0,0,0,0,0,0,0,0,0,0,0,1019.9,,20,10.6,15.8,304.2,,10.8,0,4.4
1993.0,3.0,13.0,3415.7,0,0,0.13,0.67,0.13,0.08,0.5,13.3,10,0.968,0.63,0.808,0.03,0.6,4,1,2,1,0,0,0,0,0,0,1016.5,,19.4,12.2,18.7,307.7,,7.2,0,4
1993.0,3.0,14.0,1330,0,0.04,0.33,0.54,0.08,0,0.5,13.3,8.9,0.931,0.523,0.77,0,0,2,0,2,0,0,0,0,0,0,0,1017.2,,18.9,13.3,28.7,222.7,,6.7,0,3.7
1993.0,3.0,15.0,892.5,0,0,0.21,0.63,0.17,0,0.5,12.2,9.4,0.931,0.579,0.785,0.01,0.3,3,3,0,0,0,0,0,0,0,0,1022.1,,17.8,12.8,29.7,268,,6.7,2.1,3.6
1993.0,3.0,16.0,2100,0,0,0.17,0.79,0.04,0,0.55,12.8,10,0.901,0.671,0.818,0.44,10.5,10,0,9,1,0,0,0,0,0,2,1021.4,,17.8,12.2,17.9,197.5,8.7,6.2,0,2.7
1993.0,3.0,17.0,750,0,0,0.5,0.46,0,0.04,0.45,14.4,11.1,0.931,0.726,0.829,0.26,6.2,10,0,8,2,0,0,0,0,0,2,1017.8,,17.8,13.9,18.1,208.7,13.8,8.2,1.5,5.8
1993.0,3.0,18.0,492,0,0,0.25,0.71,0,0.04,0.5,12.2,10.6,0.961,0.675,0.836,0.08,1.9,5,0,4,1,0,0,0,0,0,2,1021.6,,17.8,12.8,27.1,282,,9.8,1.5,5.1
1993.0,3.0,19.0,1081.8,0,0,0.08,0.25,0.13,0.54,1,11.7,9.4,0.9,0.775,0.833,0,0,0,0,0,0,0,0,0,0,0,0,1022.4,,15.6,12.2,18.4,278.4,,9.3,1.5,4.7
1993.0,3.0,20.0,3410,0,0.13,0.25,0.42,0.17,0.04,0.5,11.7,7.8,0.892,0.649,0.791,0,0,0,0,0,0,0,0,0,0,0,0,1021.6,,17.8,10,31,294.5,,13.4,2.6,7
1993.0,3.0,21.0,318,0,0.21,0.25,0.17,0.04,0.33,0.5,11.7,8.3,0.93,0.722,0.825,0,0,0,0,0,0,0,0,0,0,0,0,1018.5,,16.7,11.7,21.2,270,,9.3,0,5.1
1993.0,3.0,22.0,420,0,0.58,0.17,0.21,0.04,0,0,12.8,6.7,0.931,0.45,0.805,0,0,0,0,0,0,0,0,0,0,0,0,1016.7,,18.9,9.4,21.4,276.6,,9.3,0,4.2
1993.0,3.0,23.0,1345,0,0,0.04,0.96,0,0,0.5,13.9,11.7,0.931,0.866,0.905,0.48,11.5,16,0,15,1,0,0,0,0,0,2,1015.3,,15.6,13.3,15,190.3,,6.2,1.5,3.3
1993.0,3.0,24.0,4852.5,0,0.04,0.29,0.46,0.13,0.08,0.6,10,2.2,0.929,0.404,0.694,0.15,3.6,2,0,2,0,0,0,0,0,0,0,1016,,15.6,9.4,29.5,291.8,,6.2,0,4.1
1993.0,3.0,25.0,2400,0,0,0.33,0.63,0,0.04,0.5,10.6,6.1,0.9,0.515,0.781,0.3,7.2,7,0,5,2,0,0,0,0,0,2,1010.9,,16.1,9.4,20.6,331.9,,7.7,0,3.5
1993.0,3.0,26.0,2070,0,0.04,0.63,0.29,0.04,0,0.4,10,5,0.929,0.661,0.763,0.1,2.4,4,1,3,0,0,0,0,0,0,0,1009.7,,15,11.1,20,288.7,18,14.4,0,7.9
1993.0,3.0,27.0,1230,0,0,0.46,0.38,0.17,0,0.5,8.9,-0.6,0.897,0.458,0.744,0.36,8.7,6,0,4,2,0,0,0,0,0,2,1013.5,,13.3,9.4,20.7,176.7,,8.2,0,4.6
1993.0,3.0,28.0,2670,0,0,0.42,0.46,0.13,0,0.5,8.9,7.2,0.897,0.598,0.783,0.01,0.3,1,0,1,0,0,0,0,0,0,0,1016.1,,15.6,9.4,26.9,299.3,9.2,12.4,0,5.1
1993.0,3.0,29.0,5700,0,0,0.29,0.54,0.13,0.04,0.6,10,6.7,0.858,0.621,0.742,0,0,0,0,0,0,0,0,0,0,0,0,1018.8,,16.7,10.6,21.4,299.8,,10.3,0,5.2
1993.0,3.0,30.0,6075,0,0.04,0.29,0.5,0.17,0,0.5,11.1,8.9,0.893,0.601,0.776,0,0,0,0,0,0,0,0,0,0,0,0,1020.5,,17.2,11.1,22.5,285.5,,9.3,2.6,5.5
1993.0,3.0,31.0,2242.5,0,0,0.21,0.71,0.08,0,0.6,11.7,8.3,0.929,0.645,0.808,0.19,4.6,7,0,5,2,0,0,0,0,0,2,1016.9,,17.2,10,24.6,231.8,12.3,8.8,0,4.6
1993.0,4.0,1.0,,0,0.13,0.29,0.58,0,0,0.5,9.4,7.2,0.96,0.598,0.768,0,0,0,0,0,0,0,0,0,0,0,0,1019,,15.6,8.9,25.6,265.5,,9.8,2.1,5.6
1993.0,4.0,2.0,4070,0,0.13,0.42,0.25,0.08,0.13,0.25,11.7,6.7,0.894,0.624,0.776,0,0,0,0,0,0,0,0,0,0,0,0,1021,,18.3,9.4,25.1,296.3,,9.8,2.1,5.5
1993.0,4.0,3.0,2950,0,0,0.08,0.71,0.13,0.08,0.68,11.1,9.4,0.93,0.603,0.789,0,0,0,0,0,0,0,0,0,0,0,0,1019.6,,17.8,11.7,27.6,285.1,,7.7,0,4.9
1993.0,4.0,4.0,2377.5,0,0,0.54,0.42,0.04,0,0.4,12.2,5.6,1,0.556,0.754,0.03,0.6,1,0,1,0,0,0,0,0,0,0,1018.6,,16.7,11.7,28.5,277.8,9.2,9.8,2.6,5.8
1993.0,4.0,5.0,4650,0,0.46,0.17,0.21,0.13,0.04,0.25,8.9,2.8,0.797,0.454,0.642,0,0,0,0,0,0,0,0,0,0,0,0,1016.9,,15.6,9.4,35.5,287.4,10.8,11.8,2.1,7.2
1993.0,4.0,6.0,3042,0,0.04,0.42,0.46,0.08,0,0.5,11.7,7.2,0.9,0.603,0.761,0,0,0,0,0,0,0,0,0,0,0,0,1018.5,,18.3,11.7,25.3,262.6,,8.8,1.5,4.3
1993.0,4.0,7.0,,0,0.54,0.17,0.29,0,0,0,11.7,8.9,0.93,0.526,0.78,0,0,0,0,0,0,0,0,0,0,0,0,1018.9,,20,10.6,17.5,295.2,,9.8,0,4.5
1993.0,4.0,8.0,2478,0,0.04,0.17,0.71,0.08,0,0.5,13.3,8.9,0.9,0.629,0.801,0.02,0.5,4,3,1,0,0,0,0,0,0,0,1018.7,,18.9,11.1,21.1,233.3,13.3,8.8,2.1,4.6
1993.0,4.0,9.0,6000,0,0,0.21,0.54,0.21,0.04,0.5,11.7,8.3,0.93,0.576,0.784,0,0,0,0,0,0,0,0,0,0,0,0,1020.6,,17.8,11.1,24.9,280.7,,7.2,0,3.9
1993.0,4.0,10.0,6480,0,0.04,0.21,0.38,0.21,0.17,0.5,11.1,4.4,0.93,0.477,0.702,0.03,0.8,0,0,0,0,0,0,0,0,0,0,1021.4,,16.7,11.7,26.6,280.7,14.4,12.9,1.5,6.6
